id,title,company,category,job_type,publication_date,salary,location,url,source
themuse_19426527,"Psychiatrist, Medical Consultant- Remote",Unum Group,Business Operations,Full-time,2025-07-28T22:00:22Z,Negotiable,Flexible / Remote,https://www.themuse.com/jobs/unumgroup/psychiatrist-medical-consultant-remote,The Muse
themuse_21370279,"Account Executive, ENT",Flexport,Sales,Full-time,2026-04-02T18:43:12Z,Negotiable,Flexible / Remote,https://www.themuse.com/jobs/flexport/account-executive-ent-3dac51,The Muse
themuse_21471210,Staff Software Engineer,Sunrun,Software Engineering,Full-time,2026-04-25T20:35:48Z,Negotiable,Flexible / Remote,https://www.themuse.com/jobs/sunrun/staff-software-engineer-51c2b5,The Muse
themuse_19221635,Associate Billing Representative - National Remote,Optum,Other,Full-time,2025-06-10T09:59:32Z,Negotiable,Flexible / Remote,https://www.themuse.com/jobs/optum/associate-billing-representative-national-remote-f63643,The Muse
themuse_21637164,Leaves Specialist,Sunrun,Data and Analytics,Full-time,2026-05-02T19:54:55Z,Negotiable,Flexible / Remote,https://www.themuse.com/jobs/sunrun/leaves-specialist,The Muse
themuse_21457771,"Senior Security Engineer, Red Team",DoorDash,Software Engineering,Full-time,2026-04-22T19:36:30Z,Negotiable,Flexible / Remote,https://www.themuse.com/jobs/doordash/senior-security-engineer-red-team,The Muse
themuse_21316052,Account Executive - State & Local Govt,Celonis,Sales,Full-time,2026-04-16T18:38:50Z,Negotiable,Flexible / Remote,https://www.themuse.com/jobs/celonis/account-executive-state-local-govt,The Muse
themuse_21477621,Account Executive - New Grad,GlossGenius,Sales,Full-time,2026-04-17T18:47:53Z,Negotiable,Flexible / Remote,https://www.themuse.com/jobs/glossgenius/account-executive-new-grad,The Muse
themuse_21651726,"Technical Implementation Specialist, DoorDash for Business",DoorDash,Account Management,Full-time,2026-05-06T19:35:05Z,Negotiable,Flexible / Remote,https://www.themuse.com/jobs/doordash/technical-implementation-specialist-doordash-for-business,The Muse
themuse_21589234,External Affairs Manager (Tennessee),SpaceX,Legal Services,Full-time,2026-04-17T18:45:51Z,Negotiable,Flexible / Remote,https://www.themuse.com/jobs/spacex/external-affairs-manager-tennessee,The Muse
themuse_21642558,Sr. Efficiency and Training Specialist,Sunrun,Energy Generation and Mining,Full-time,2026-04-29T20:04:41Z,Negotiable,Flexible / Remote,https://www.themuse.com/jobs/sunrun/sr-efficiency-and-training-specialist-1987c3,The Muse
themuse_19222504,Patient Accounts Resolution Representative - Remote in MN or WI,Optum,Other,Full-time,2025-06-10T10:01:17Z,Negotiable,Flexible / Remote,https://www.themuse.com/jobs/optum/patient-accounts-resolution-representative-remote-in-mn-or-wi-46a720,The Muse
themuse_20153775,Radiologist Body Imaging - Radiology - Kelsey-Seybold - Remote,Optum,Other,Full-time,2025-09-06T18:36:29Z,Negotiable,Flexible / Remote,https://www.themuse.com/jobs/optum/radiologist-body-imaging-radiology-kelseyseybold-remote,The Muse
themuse_20927986,"Sr. Manager, Equity Administration",Sunrun,Administration and Office,Full-time,2026-04-18T20:22:02Z,Negotiable,Flexible / Remote,https://www.themuse.com/jobs/sunrun/sr-manager-equity-administration-c2ad4e,The Muse
themuse_19222325,Hospital Collections Representative - National Remote,Optum,Other,Full-time,2025-06-10T09:55:39Z,Negotiable,Flexible / Remote,https://www.themuse.com/jobs/optum/hospital-collections-representative-national-remote-3f4f84,The Muse
themuse_18155515,Sr. Research & Grants Manager (Remote/Hybrid opportunity),Stanford University,Other,Full-time,2025-03-11T15:50:15Z,Negotiable,Flexible / Remote,https://www.themuse.com/jobs/stanforduniversity/sr-research-grants-manager-remotehybrid-opportunity-0bdf04,The Muse
themuse_19221377,Hospital Collections Representative - National Remote,Optum,Other,Full-time,2025-06-10T10:01:17Z,Negotiable,Flexible / Remote,https://www.themuse.com/jobs/optum/hospital-collections-representative-national-remote-ff3d92,The Muse
